iter	RMSE
210	0.9054573076
211	0.9053568698
212	0.9052492706
213	0.905196947
214	0.9050800146
215	0.9049089314
216	0.9046814442
217	0.9045732997
218	0.9045069626
219	0.9044393423
220	0.904313903
221	0.9042064825
222	0.9041484048
223	0.9040481574
224	0.9039626968
225	0.9038998979
226	0.9038441392
227	0.9037202787
228	0.9036007683
229	0.9035080582
230	0.9034209318
231	0.9032589469
232	0.9031500745
233	0.9030308289
234	0.9028320837
235	0.9027315909
236	0.9026522231
237	0.902560741
238	0.9025255241
239	0.9024452569
240	0.9022865216
241	0.9021238596
242	0.9020240215
243	0.9019559208
244	0.9018677173
245	0.9017777445
246	0.9016822534
247	0.9015170645
248	0.9013908361
249	0.9013585929
250	0.9012508424
251	0.9011215402
252	0.9010594145
253	0.900900248
254	0.900783391
255	0.9006846173
256	0.9006315611
257	0.9005042411
258	0.9003954132
259	0.9002627926
260	0.9001633232
261	0.9000446528
262	0.8999349556
263	0.899803056
264	0.8997268842
265	0.8996474882
266	0.899498994
267	0.8993952062
268	0.8993227001
269	0.8992732854
270	0.8990997065
271	0.8990202427
272	0.898924775
273	0.8988333465
274	0.8987181274
275	0.8986366829
276	0.8985346302
277	0.8984437924
278	0.8983572838
279	0.898282956
280	0.898211652
281	0.8981698825
282	0.8980440463
283	0.8979467118
284	0.8978718503
285	0.8977436644
286	0.8975757495
287	0.8974653408
288	0.897325925
289	0.8972168571
290	0.8971274573
291	0.8970523668
292	0.8969763197
293	0.8968581655
294	0.8967373462
295	0.8966462633
296	0.8964764986
297	0.8963369412
298	0.8962523653
299	0.8961385012
300	0.8960560211
301	0.8959446719
302	0.8958378146
303	0.8957719264
304	0.8956692226
305	0.8955889682
306	0.8954763948
307	0.8953188354
308	0.8952249109
309	0.8950910951
310	0.8950312817
311	0.8949259282
312	0.8948644964
313	0.8947930767
314	0.8946958168
315	0.8946286166
316	0.8945572897
317	0.8944888948
318	0.8943838984
319	0.8943141445
320	0.8942216163
321	0.8940774078
322	0.8939912387
323	0.8938648494
324	0.8937277758
325	0.8936601492
326	0.8934987358
327	0.8933843347
328	0.8933158899
329	0.8932884815
330	0.8931872544
331	0.893047905
332	0.8929813493
333	0.8928902131
334	0.8927500965
335	0.892689112
336	0.8926213893
337	0.8925550903
338	0.8924876925
339	0.8924484998
340	0.8923949036
341	0.8922879437
342	0.8922142443
343	0.8921227254
344	0.8919961883
345	0.891876562
346	0.8918121008
347	0.8917136937
348	0.8915752738
349	0.8914808988
350	0.8913542587
351	0.8912888352
352	0.8912552426
353	0.8911405633
354	0.8910536122
355	0.8909716055
356	0.8908985638
357	0.8908393353
358	0.8907552235
359	0.8906840651
360	0.8906028133
361	0.8904298373
